question_cluster,question_cluster,absolute_count,relative_count
256,256,164,0.0548678487788558
196,196,107,0.035797925727668115
118,118,75,0.025092004014720642
199,199,71,0.023753763800602207
162,162,69,0.023084643693542992
78,78,58,0.019404483104717297
112,112,52,0.017397122783539644
152,152,49,0.01639344262295082
145,145,47,0.015724322515891603
75,75,44,0.014720642355302778
156,156,38,0.012713282034125126
136,136,36,0.012044161927065908
177,177,34,0.011375041820006692
138,138,34,0.011375041820006692
23,23,31,0.010371361659417865
193,193,30,0.010036801605888258
10,10,29,0.009702241552358649
79,79,29,0.009702241552358649
5,5,28,0.00936768149882904
263,263,28,0.00936768149882904
60,60,27,0.009033121445299431
27,27,26,0.008698561391769822
133,133,26,0.008698561391769822
175,175,25,0.008364001338240215
188,188,25,0.008364001338240215
114,114,24,0.008029441284710606
82,82,23,0.007694881231180997
254,254,23,0.007694881231180997
80,80,21,0.00702576112412178
59,59,19,0.006356641017062563
163,163,19,0.006356641017062563
190,190,19,0.006356641017062563
45,45,18,0.006022080963532954
41,41,18,0.006022080963532954
18,18,18,0.006022080963532954
123,123,18,0.006022080963532954
232,232,18,0.006022080963532954
181,181,18,0.006022080963532954
15,15,18,0.006022080963532954
234,234,17,0.005687520910003346
8,8,17,0.005687520910003346
219,219,17,0.005687520910003346
264,264,17,0.005687520910003346
52,52,17,0.005687520910003346
164,164,16,0.005352960856473737
130,130,16,0.005352960856473737
213,213,16,0.005352960856473737
31,31,16,0.005352960856473737
107,107,16,0.005352960856473737
33,33,16,0.005352960856473737
3,3,15,0.005018400802944129
173,173,15,0.005018400802944129
120,120,15,0.005018400802944129
89,89,15,0.005018400802944129
151,151,15,0.005018400802944129
101,101,14,0.00468384074941452
42,42,14,0.00468384074941452
143,143,14,0.00468384074941452
121,121,14,0.00468384074941452
17,17,13,0.004349280695884911
171,171,13,0.004349280695884911
184,184,13,0.004349280695884911
150,150,13,0.004349280695884911
142,142,12,0.004014720642355303
12,12,12,0.004014720642355303
66,66,12,0.004014720642355303
14,14,12,0.004014720642355303
247,247,12,0.004014720642355303
72,72,12,0.004014720642355303
149,149,12,0.004014720642355303
62,62,11,0.0036801605888256944
157,157,11,0.0036801605888256944
83,83,11,0.0036801605888256944
43,43,11,0.0036801605888256944
140,140,11,0.0036801605888256944
148,148,11,0.0036801605888256944
61,61,11,0.0036801605888256944
176,176,10,0.0033456005352960855
86,86,10,0.0033456005352960855
47,47,10,0.0033456005352960855
19,19,10,0.0033456005352960855
239,239,10,0.0033456005352960855
170,170,10,0.0033456005352960855
2,2,10,0.0033456005352960855
214,214,10,0.0033456005352960855
187,187,9,0.003011040481766477
237,237,9,0.003011040481766477
50,50,9,0.003011040481766477
30,30,9,0.003011040481766477
53,53,9,0.003011040481766477
127,127,9,0.003011040481766477
144,144,9,0.003011040481766477
255,255,9,0.003011040481766477
186,186,9,0.003011040481766477
161,161,9,0.003011040481766477
132,132,9,0.003011040481766477
200,200,8,0.0026764804282368685
28,28,8,0.0026764804282368685
6,6,8,0.0026764804282368685
25,25,8,0.0026764804282368685
99,99,8,0.0026764804282368685
67,67,8,0.0026764804282368685
32,32,8,0.0026764804282368685
124,124,8,0.0026764804282368685
55,55,8,0.0026764804282368685
111,111,8,0.0026764804282368685
202,202,8,0.0026764804282368685
74,74,8,0.0026764804282368685
38,38,8,0.0026764804282368685
16,16,8,0.0026764804282368685
87,87,7,0.00234192037470726
40,40,7,0.00234192037470726
154,154,7,0.00234192037470726
216,216,7,0.00234192037470726
48,48,7,0.00234192037470726
174,174,7,0.00234192037470726
1,1,7,0.00234192037470726
85,85,7,0.00234192037470726
37,37,7,0.00234192037470726
106,106,7,0.00234192037470726
251,251,7,0.00234192037470726
110,110,7,0.00234192037470726
103,103,7,0.00234192037470726
211,211,7,0.00234192037470726
34,34,7,0.00234192037470726
147,147,7,0.00234192037470726
224,224,7,0.00234192037470726
93,93,6,0.0020073603211776514
95,95,6,0.0020073603211776514
7,7,6,0.0020073603211776514
58,58,6,0.0020073603211776514
21,21,6,0.0020073603211776514
137,137,6,0.0020073603211776514
29,29,6,0.0020073603211776514
158,158,6,0.0020073603211776514
180,180,6,0.0020073603211776514
96,96,6,0.0020073603211776514
166,166,6,0.0020073603211776514
210,210,6,0.0020073603211776514
81,81,6,0.0020073603211776514
102,102,6,0.0020073603211776514
126,126,6,0.0020073603211776514
185,185,6,0.0020073603211776514
20,20,6,0.0020073603211776514
84,84,6,0.0020073603211776514
253,253,6,0.0020073603211776514
4,4,6,0.0020073603211776514
69,69,6,0.0020073603211776514
56,56,6,0.0020073603211776514
98,98,6,0.0020073603211776514
35,35,6,0.0020073603211776514
249,249,6,0.0020073603211776514
195,195,6,0.0020073603211776514
9,9,6,0.0020073603211776514
117,117,6,0.0020073603211776514
22,22,6,0.0020073603211776514
165,165,6,0.0020073603211776514
153,153,6,0.0020073603211776514
146,146,6,0.0020073603211776514
100,100,6,0.0020073603211776514
44,44,6,0.0020073603211776514
54,54,6,0.0020073603211776514
108,108,6,0.0020073603211776514
225,225,6,0.0020073603211776514
13,13,6,0.0020073603211776514
235,235,5,0.0016728002676480427
238,238,5,0.0016728002676480427
0,0,5,0.0016728002676480427
172,172,5,0.0016728002676480427
46,46,5,0.0016728002676480427
182,182,5,0.0016728002676480427
245,245,5,0.0016728002676480427
204,204,5,0.0016728002676480427
115,115,5,0.0016728002676480427
227,227,5,0.0016728002676480427
205,205,5,0.0016728002676480427
26,26,5,0.0016728002676480427
209,209,5,0.0016728002676480427
57,57,5,0.0016728002676480427
36,36,5,0.0016728002676480427
134,134,5,0.0016728002676480427
116,116,5,0.0016728002676480427
228,228,5,0.0016728002676480427
201,201,5,0.0016728002676480427
70,70,5,0.0016728002676480427
104,104,5,0.0016728002676480427
131,131,5,0.0016728002676480427
113,113,5,0.0016728002676480427
91,91,5,0.0016728002676480427
183,183,5,0.0016728002676480427
135,135,5,0.0016728002676480427
206,206,4,0.0013382402141184342
229,229,4,0.0013382402141184342
71,71,4,0.0013382402141184342
223,223,4,0.0013382402141184342
241,241,4,0.0013382402141184342
94,94,4,0.0013382402141184342
221,221,4,0.0013382402141184342
51,51,4,0.0013382402141184342
49,49,4,0.0013382402141184342
179,179,4,0.0013382402141184342
167,167,4,0.0013382402141184342
77,77,4,0.0013382402141184342
24,24,4,0.0013382402141184342
39,39,4,0.0013382402141184342
129,129,4,0.0013382402141184342
63,63,4,0.0013382402141184342
259,259,4,0.0013382402141184342
11,11,4,0.0013382402141184342
191,191,4,0.0013382402141184342
248,248,4,0.0013382402141184342
160,160,4,0.0013382402141184342
168,168,4,0.0013382402141184342
203,203,4,0.0013382402141184342
236,236,4,0.0013382402141184342
97,97,4,0.0013382402141184342
243,243,4,0.0013382402141184342
258,258,4,0.0013382402141184342
92,92,4,0.0013382402141184342
261,261,4,0.0013382402141184342
76,76,4,0.0013382402141184342
242,242,3,0.0010036801605888257
260,260,3,0.0010036801605888257
198,198,3,0.0010036801605888257
233,233,3,0.0010036801605888257
122,122,3,0.0010036801605888257
266,266,3,0.0010036801605888257
90,90,3,0.0010036801605888257
178,178,3,0.0010036801605888257
155,155,3,0.0010036801605888257
215,215,3,0.0010036801605888257
252,252,3,0.0010036801605888257
265,265,3,0.0010036801605888257
64,64,3,0.0010036801605888257
208,208,3,0.0010036801605888257
141,141,3,0.0010036801605888257
222,222,3,0.0010036801605888257
218,218,3,0.0010036801605888257
105,105,3,0.0010036801605888257
73,73,3,0.0010036801605888257
119,119,3,0.0010036801605888257
217,217,3,0.0010036801605888257
88,88,3,0.0010036801605888257
207,207,3,0.0010036801605888257
192,192,3,0.0010036801605888257
68,68,3,0.0010036801605888257
159,159,3,0.0010036801605888257
65,65,3,0.0010036801605888257
139,139,3,0.0010036801605888257
262,262,2,0.0006691201070592171
197,197,2,0.0006691201070592171
244,244,2,0.0006691201070592171
226,226,2,0.0006691201070592171
240,240,2,0.0006691201070592171
169,169,2,0.0006691201070592171
246,246,2,0.0006691201070592171
194,194,2,0.0006691201070592171
109,109,2,0.0006691201070592171
189,189,2,0.0006691201070592171
128,128,2,0.0006691201070592171
212,212,2,0.0006691201070592171
125,125,2,0.0006691201070592171
257,257,2,0.0006691201070592171
220,220,2,0.0006691201070592171
231,231,2,0.0006691201070592171
250,250,2,0.0006691201070592171
230,230,2,0.0006691201070592171
