question_cluster,question_cluster,absolute_count,relative_count,,,,,
118,118,75,0.041163557,,4.12%,,1,0.72%
162,162,69,0.037870472,,7.90%,,2,1.44%
78,78,58,0.03183315,,11.09%,,3,2.16%
112,112,52,0.028540066,,13.94%,,4,2.88%
152,152,49,0.026893524,,16.63%,,5,3.60%
145,145,47,0.025795829,,19.21%,,6,4.32%
75,75,44,0.024149286,,21.62%,,7,5.04%
156,156,38,0.020856202,,23.71%,,8,5.76%
136,136,36,0.019758507,,25.69%,,9,6.47%
177,177,34,0.018660812,,27.55%,,10,7.19%
138,138,34,0.018660812,,29.42%,,11,7.91%
23,23,31,0.01701427,,31.12%,,12,8.63%
79,79,29,0.015916575,,32.71%,,13,9.35%
10,10,29,0.015916575,,34.30%,,14,10.07%
5,5,28,0.015367728,,35.84%,,15,10.79%
263,263,28,0.015367728,,37.38%,,16,11.51%
27,27,26,0.014270033,,38.80%,,17,12.23%
133,133,26,0.014270033,,40.23%,,18,12.95%
188,188,25,0.013721186,,41.60%,,19,13.67%
175,175,25,0.013721186,,42.97%,,20,14.39%
114,114,24,0.013172338,,44.29%,,21,15.11%
254,254,23,0.012623491,,45.55%,,22,15.83%
82,82,23,0.012623491,,46.82%,,23,16.55%
80,80,21,0.011525796,,47.97%,,24,17.27%
190,190,19,0.010428101,,49.01%,,25,17.99%
59,59,19,0.010428101,,50.05%,,26,18.71%
163,163,19,0.010428101,,51.10%,,27,19.42%
123,123,18,0.009879254,,52.09%,,28,20.14%
18,18,18,0.009879254,,53.07%,,29,20.86%
41,41,18,0.009879254,,54.06%,,30,21.58%
181,181,18,0.009879254,,55.05%,,31,22.30%
15,15,18,0.009879254,,56.04%,,32,23.02%
45,45,18,0.009879254,,57.03%,,33,23.74%
234,234,17,0.009330406,,57.96%,,34,24.46%
8,8,17,0.009330406,,58.89%,,35,25.18%
264,264,17,0.009330406,,59.82%,,36,25.90%
52,52,17,0.009330406,,60.76%,,37,26.62%
164,164,16,0.008781559,,61.64%,,38,27.34%
213,213,16,0.008781559,,62.51%,,39,28.06%
3,3,15,0.008232711,,63.34%,,40,28.78%
89,89,15,0.008232711,,64.16%,,41,29.50%
173,173,15,0.008232711,,64.98%,,42,30.22%
101,101,14,0.007683864,,65.75%,,43,30.94%
121,121,14,0.007683864,,66.52%,,44,31.65%
150,150,13,0.007135016,,67.23%,,45,32.37%
14,14,12,0.006586169,,67.89%,,46,33.09%
247,247,12,0.006586169,,68.55%,,47,33.81%
149,149,12,0.006586169,,69.21%,,48,34.53%
66,66,12,0.006586169,,69.87%,,49,35.25%
72,72,12,0.006586169,,70.53%,,50,35.97%
140,140,11,0.006037322,,71.13%,,51,36.69%
148,148,11,0.006037322,,71.73%,,52,37.41%
43,43,11,0.006037322,,72.34%,,53,38.13%
61,61,11,0.006037322,,72.94%,,54,38.85%
83,83,11,0.006037322,,73.55%,,55,39.57%
62,62,11,0.006037322,,74.15%,,56,40.29%
214,214,10,0.005488474,,74.70%,,57,41.01%
239,239,10,0.005488474,,75.25%,,58,41.73%
186,186,9,0.004939627,,75.74%,,59,42.45%
50,50,9,0.004939627,,76.23%,,60,43.17%
127,127,9,0.004939627,,76.73%,,61,43.88%
132,132,9,0.004939627,,77.22%,,62,44.60%
30,30,9,0.004939627,,77.72%,,63,45.32%
187,187,9,0.004939627,,78.21%,,64,46.04%
144,144,9,0.004939627,,78.70%,,65,46.76%
237,237,9,0.004939627,,79.20%,,66,47.48%
200,200,8,0.004390779,,79.64%,,67,48.20%
28,28,8,0.004390779,,80.08%,,68,48.92%
111,111,8,0.004390779,,80.52%,,69,49.64%
16,16,8,0.004390779,,80.95%,,70,50.36%
67,67,8,0.004390779,,81.39%,,71,51.08%
74,74,8,0.004390779,,81.83%,,72,51.80%
99,99,8,0.004390779,,82.27%,,73,52.52%
38,38,8,0.004390779,,82.71%,,74,53.24%
202,202,8,0.004390779,,83.15%,,75,53.96%
48,48,7,0.003841932,,83.53%,,76,54.68%
174,174,7,0.003841932,,83.92%,,77,55.40%
85,85,7,0.003841932,,84.30%,,78,56.12%
154,154,7,0.003841932,,84.69%,,79,56.83%
1,1,7,0.003841932,,85.07%,,80,57.55%
216,216,7,0.003841932,,85.46%,,81,58.27%
87,87,7,0.003841932,,85.84%,,82,58.99%
251,251,7,0.003841932,,86.22%,,83,59.71%
103,103,7,0.003841932,,86.61%,,84,60.43%
224,224,7,0.003841932,,86.99%,,85,61.15%
211,211,7,0.003841932,,87.38%,,86,61.87%
126,126,6,0.003293085,,87.71%,,87,62.59%
95,95,6,0.003293085,,88.04%,,88,63.31%
69,69,6,0.003293085,,88.36%,,89,64.03%
96,96,6,0.003293085,,88.69%,,90,64.75%
180,180,6,0.003293085,,89.02%,,91,65.47%
158,158,6,0.003293085,,89.35%,,92,66.19%
185,185,6,0.003293085,,89.68%,,93,66.91%
166,166,6,0.003293085,,90.01%,,94,67.63%
29,29,6,0.003293085,,90.34%,,95,68.35%
7,7,6,0.003293085,,90.67%,,96,69.06%
98,98,6,0.003293085,,91.00%,,97,69.78%
249,249,6,0.003293085,,91.33%,,98,70.50%
84,84,6,0.003293085,,91.66%,,99,71.22%
100,100,6,0.003293085,,91.99%,,100,71.94%
108,108,6,0.003293085,,92.32%,,101,72.66%
153,153,6,0.003293085,,92.65%,,102,73.38%
227,227,5,0.002744237,,92.92%,,103,74.10%
228,228,5,0.002744237,,93.19%,,104,74.82%
238,238,5,0.002744237,,93.47%,,105,75.54%
134,134,5,0.002744237,,93.74%,,106,76.26%
205,205,5,0.002744237,,94.02%,,107,76.98%
104,104,5,0.002744237,,94.29%,,108,77.70%
182,182,5,0.002744237,,94.57%,,109,78.42%
243,243,4,0.00219539,,94.79%,,110,79.14%
248,248,4,0.00219539,,95.01%,,111,79.86%
236,236,4,0.00219539,,95.23%,,112,80.58%
259,259,4,0.00219539,,95.44%,,113,81.29%
129,129,4,0.00219539,,95.66%,,114,82.01%
97,97,4,0.00219539,,95.88%,,115,82.73%
39,39,4,0.00219539,,96.10%,,116,83.45%
24,24,4,0.00219539,,96.32%,,117,84.17%
11,11,4,0.00219539,,96.54%,,118,84.89%
51,51,4,0.00219539,,96.76%,,119,85.61%
76,76,4,0.00219539,,96.98%,,120,86.33%
49,49,4,0.00219539,,97.20%,,121,87.05%
261,261,4,0.00219539,,97.42%,,122,87.77%
217,217,3,0.001646542,,97.59%,,123,88.49%
208,208,3,0.001646542,,97.75%,,124,89.21%
215,215,3,0.001646542,,97.91%,,125,89.93%
260,260,3,0.001646542,,98.08%,,126,90.65%
122,122,3,0.001646542,,98.24%,,127,91.37%
265,265,3,0.001646542,,98.41%,,128,92.09%
252,252,3,0.001646542,,98.57%,,129,92.81%
266,266,3,0.001646542,,98.74%,,130,93.53%
119,119,3,0.001646542,,98.90%,,131,94.24%
141,141,3,0.001646542,,99.07%,,132,94.96%
68,68,3,0.001646542,,99.23%,,133,95.68%
159,159,3,0.001646542,,99.40%,,134,96.40%
222,222,3,0.001646542,,99.56%,,135,97.12%
220,220,2,0.001097695,,99.67%,,136,97.84%
169,169,2,0.001097695,,99.78%,,137,98.56%
244,244,2,0.001097695,,99.89%,,138,99.28%
128,128,2,0.001097695,,100.00%,,139,100.00%
